pair,train_session,test_session,train_animal,test_animal,feature_family,accuracy,balanced_accuracy,shuffle_accuracy_mean,shuffle_accuracy_std,shuffle_balanced_accuracy_mean,shuffle_balanced_accuracy_std,accuracy_effect_over_shuffle,balanced_accuracy_effect_over_shuffle,accuracy_shuffle_p,balanced_accuracy_shuffle_p
rat0313__2023_05_31__to__rat0314__2023_05_22,rat0313__2023_05_31,rat0314__2023_05_22,rat0313,rat0314,cebra,0.19,0.19,0.1982,0.03205643820609086,0.1982,0.03205643820609086,-0.25579884911986106,-0.25579884911986106,0.6467065868263473,0.6467065868263473
rat0313__2023_05_31__to__rat0816__2022_11_08,rat0313__2023_05_31,rat0816__2022_11_08,rat0313,rat0816,cebra,0.18,0.18,0.20066,0.04026172391770689,0.20066,0.04026172391770689,-0.5131424586346104,-0.5131424586346104,0.7265469061876247,0.7265469061876247
rat0314__2023_05_22__to__rat0222__2023_05_09,rat0314__2023_05_22,rat0222__2023_05_09,rat0314,rat0222,cebra,0.26,0.26,0.20036,0.04302525706478675,0.20035999999999998,0.04302525706478675,1.3861625488999412,1.3861625488999418,0.11976047904191617,0.10978043912175649
rat0314__2023_05_22__to__rat0307__2023_06_05,rat0314__2023_05_22,rat0307__2023_06_05,rat0314,rat0307,cebra,0.23,0.23000000000000004,0.19839999999999997,0.03836121956263468,0.1984,0.03836121956263468,0.8237485763038586,0.8237485763038586,0.23552894211576847,0.18762475049900199
rat0314__2023_05_22__to__rat0313__2023_05_31,rat0314__2023_05_22,rat0313__2023_05_31,rat0314,rat0313,cebra,0.22,0.21999999999999997,0.19996,0.031163130159897696,0.19996,0.0311631301598977,0.6430676218074042,0.6430676218074032,0.3093812375249501,0.3093812375249501
rat0314__2023_05_22__to__rat0816__2022_11_08,rat0314__2023_05_22,rat0816__2022_11_08,rat0314,rat0816,cebra,0.13,0.13,0.19786,0.03954171841220333,0.19786,0.03954171841220334,-1.7161621377349425,-1.716162137734942,0.9800399201596807,0.9760479041916168
rat0816__2022_11_08__to__rat0222__2023_05_09,rat0816__2022_11_08,rat0222__2023_05_09,rat0816,rat0222,cebra,0.16,0.15999999999999998,0.20002,0.046200308841761524,0.20002,0.046200308841761524,-0.8662279755979683,-0.8662279755979689,0.8263473053892215,0.8263473053892215
rat0816__2022_11_08__to__rat0307__2023_06_05,rat0816__2022_11_08,rat0307__2023_06_05,rat0816,rat0307,cebra,0.2,0.2,0.20078000000000001,0.03420426088846025,0.20078000000000001,0.03420426088846025,-0.02280417643122227,-0.02280417643122227,0.5808383233532934,0.5748502994011976
rat0816__2022_11_08__to__rat0313__2023_05_31,rat0816__2022_11_08,rat0313__2023_05_31,rat0816,rat0313,cebra,0.19,0.19,0.20085999999999998,0.032353576430058414,0.20085999999999998,0.032353576430058414,-0.3356661364309137,-0.3356661364309137,0.6746506986027944,0.6726546906187625
rat0816__2022_11_08__to__rat0314__2023_05_22,rat0816__2022_11_08,rat0314__2023_05_22,rat0816,rat0314,cebra,0.2,0.2,0.19896,0.03185196218429847,0.19896,0.03185196218429847,0.03265104968988958,0.03265104968988958,0.530938123752495,0.5169660678642715
