pair,train_session,test_session,train_animal,test_animal,feature_family,accuracy,balanced_accuracy,shuffle_accuracy_mean,shuffle_accuracy_std,shuffle_balanced_accuracy_mean,shuffle_balanced_accuracy_std,accuracy_effect_over_shuffle,balanced_accuracy_effect_over_shuffle,accuracy_shuffle_p,balanced_accuracy_shuffle_p
rat0313__2023_05_31__to__rat0314__2023_05_22,rat0313__2023_05_31,rat0314__2023_05_22,rat0313,rat0314,raw_summary,0.196,0.196,0.19986400000000004,0.003144722971126426,0.19986400000000004,0.0031447229711264357,-1.2287250850004017,-1.2287250850003981,0.9800399201596807,0.9800399201596807
rat0313__2023_05_31__to__rat0816__2022_11_08,rat0313__2023_05_31,rat0816__2022_11_08,rat0313,rat0816,raw_summary,0.2,0.2,0.20210400000000003,0.02192547918004414,0.202104,0.021925479180044147,-0.0959614146957853,-0.09596141469578401,0.6007984031936128,0.5968063872255489
rat0314__2023_05_22__to__rat0222__2023_05_09,rat0314__2023_05_22,rat0222__2023_05_09,rat0314,rat0222,raw_summary,0.2,0.2,0.19970400000000002,0.013749854581122085,0.19970400000000002,0.013749854581122092,0.021527500400359507,0.021527500400359497,0.5968063872255489,0.5948103792415169
rat0314__2023_05_22__to__rat0307__2023_06_05,rat0314__2023_05_22,rat0307__2023_06_05,rat0314,rat0307,raw_summary,0.2,0.2,0.19992800000000002,0.020796822633838245,0.19992800000000002,0.020796822633838252,0.0034620673199779305,0.0034620673199779292,0.5489021956087824,0.5469061876247505
rat0314__2023_05_22__to__rat0313__2023_05_31,rat0314__2023_05_22,rat0313__2023_05_31,rat0314,rat0313,raw_summary,0.2,0.2,0.19993600000000003,0.022505129764821687,0.19993600000000003,0.02250512976482169,0.0028437960886597813,0.002843796088659781,0.530938123752495,0.5289421157684631
rat0314__2023_05_22__to__rat0816__2022_11_08,rat0314__2023_05_22,rat0816__2022_11_08,rat0314,rat0816,raw_summary,0.2,0.2,0.20024800000000004,0.022390291340055966,0.20024800000000004,0.02239029134005597,-0.01107622925639904,-0.011076229256399039,0.6766467065868264,0.6766467065868264
rat0816__2022_11_08__to__rat0222__2023_05_09,rat0816__2022_11_08,rat0222__2023_05_09,rat0816,rat0222,raw_summary,0.228,0.22800000000000004,0.19970400000000002,0.028356879398453508,0.19970400000000002,0.02835687939845351,0.997853099503719,0.9978530995037199,0.18962075848303392,0.18163672654690619
rat0816__2022_11_08__to__rat0307__2023_06_05,rat0816__2022_11_08,rat0307__2023_06_05,rat0816,rat0307,raw_summary,0.208,0.20800000000000002,0.20027200000000006,0.017516954741244657,0.20027200000000006,0.017516954741244664,0.4411725733242844,0.4411725733242858,0.3393213572854291,0.3393213572854291
rat0816__2022_11_08__to__rat0313__2023_05_31,rat0816__2022_11_08,rat0313__2023_05_31,rat0816,rat0313,raw_summary,0.212,0.21200000000000002,0.19856800000000005,0.02460227468832261,0.19856800000000005,0.024602274688322615,0.5459657763424371,0.5459657763424381,0.2435129740518962,0.2435129740518962
rat0816__2022_11_08__to__rat0314__2023_05_22,rat0816__2022_11_08,rat0314__2023_05_22,rat0816,rat0314,raw_summary,0.192,0.192,0.19920000000000004,0.00802401206000328,0.19920000000000004,0.008024012060003291,-0.8973067271283608,-0.8973067271283596,0.8782435129740519,0.8782435129740519
