observation_id,comparison,comparison_family,rat_left,rat_right,rat_pair,model_run,procrustes_disparity,aligned_rmse,aligned_sse_over_target_ss
134,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,14,0.2022504907150585,0.44972268201087917,0.20225049071505832
135,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,15,0.2232564667110337,0.4725002293237895,0.22325646671103364
136,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,16,0.04331104912209468,0.20811306811945934,0.04331104912209472
137,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,17,0.26940922500171144,0.5190464574599382,0.2694092250017115
138,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,18,0.1075446288559922,0.32793997752026544,0.1075446288559922
139,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,19,0.2976974491325884,0.5456165770324324,0.2976974491325883
140,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,0,0.31180480819226053,0.5583948497186024,0.3118048081922606
141,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,1,0.10582733970734082,0.32531114291911495,0.10582733970734083
142,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,2,0.14735998950872647,0.383874965983361,0.14735998950872653
143,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,3,0.33824963958160287,0.5815923310890566,0.3382496395816028
144,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,4,0.1116302866414942,0.33411118903965825,0.11163028664149428
145,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,5,0.317759997222936,0.5637020464952527,0.3177599972229361
146,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,6,0.15304040875827674,0.3912037944067988,0.15304040875827687
147,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,7,0.09589989575863182,0.30967708303752767,0.09589989575863181
148,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,8,0.3068313572161868,0.5539236023281429,0.3068313572161866
149,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,9,0.2914925108791664,0.5399004638627073,0.2914925108791664
150,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,10,0.19856915072334294,0.44561098586473713,0.19856915072334297
151,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,11,0.5420733493669104,0.7362563068435548,0.5420733493669107
152,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,12,0.28923295739677773,0.537803827986356,0.28923295739677785
153,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,13,0.2756739053646306,0.5250465744718564,0.2756739053646307
154,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,14,0.17457935876279962,0.41782694834440687,0.17457935876279965
155,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,15,0.45549134671555225,0.6749009903056539,0.45549134671555225
156,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,16,0.03397460642429238,0.18432201828401407,0.03397460642429242
157,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,17,0.1465096139265943,0.3827657428853766,0.14650961392659428
158,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,18,0.06003336981344846,0.24501708065652975,0.06003336981344841
159,B_vs_B,B_vs_B,rat0222,rat0313,rat0222__rat0313,19,0.19938339743994643,0.44652368071575604,0.19938339743994646
160,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,0,0.17240975676897383,0.41522253884992066,0.17240975676897388
161,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,1,0.22232162410570122,0.47150994062235985,0.22232162410570136
162,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,2,0.4160592762995422,0.6450265702275698,0.4160592762995421
163,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,3,0.4920899487599399,0.7014912321333315,0.49208994875993967
164,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,4,0.13797101572778098,0.3714444988524946,0.13797101572778087
165,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,5,0.16135857796855752,0.40169463273556133,0.16135857796855752
166,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,6,0.22036685072476517,0.46943247727949644,0.2203668507247649
167,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,7,0.331874376321685,0.5760853897832204,0.331874376321685
168,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,8,0.12313966344958177,0.350912615118895,0.12313966344958174
169,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,9,0.29930491208873944,0.5470876639888159,0.29930491208873955
170,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,10,0.11700288972085186,0.3420568515917378,0.11700288972085217
171,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,11,0.28295952945337244,0.5319394039299706,0.2829595294533725
172,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,12,0.20091844570810088,0.4482392728310416,0.20091844570810097
