observation_id,rat_left,rat_right,rat_pair,comparison,comparison_family,model_run,rReal
177,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,17,0.10303030303030303
178,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,18,0.6727272727272726
179,rat0222,rat0314,rat0222__rat0314,A_vs_A,A_vs_A,19,0.6727272727272726
180,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,0,0.35757575757575755
181,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,1,0.6484848484848483
182,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,2,0.38181818181818183
183,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,3,0.12727272727272726
184,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,4,0.22424242424242422
185,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,5,0.5272727272727272
186,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,6,0.6606060606060605
187,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,7,0.6363636363636362
188,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,8,0.5151515151515151
189,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,9,0.35757575757575755
190,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,10,0.6727272727272726
191,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,11,0.4424242424242424
192,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,12,0.5636363636363636
193,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,13,-0.35757575757575755
194,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,14,0.4787878787878787
195,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,15,0.5757575757575757
196,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,16,0.49090909090909085
197,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,17,-0.13939393939393938
198,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,18,0.3696969696969697
199,rat0222,rat0314,rat0222__rat0314,A_vs_B,A_vs_B,19,0.406060606060606
200,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,0,0.7575757575757575
201,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,1,0.8787878787878788
202,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,2,0.7212121212121211
203,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,3,0.38181818181818183
204,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,4,0.5030303030303029
